propertyType,checkIn,checkOut,Cancellation Policies,Check in after,Check out before,personCapacity,roomType,Bedrooms,baths,rating_guestSatisfaction,location,Base_Price,Cleaning_Fee,price_cleaningFee,subDescription/title,timestamp,iosLink,url
Shared room in hotel,12/31/2024,1/1/2025,Flexible, 2:00 pm, 10:00 AM,1,Shared room,1,,,Barcelona,$58.00 ,,,"Room in Barcelona, Spain",2024-10-08T18:20:34.093Z,airbnb://rooms/1252851017334064123,https://www.airbnb.com/rooms/1252851017334064123?locale=en-US&currency=USD&check_in=2024-12-31&check_out=2025-01-01
Private room in rental unit,12/31/2024,1/1/2025,Flexible,flexible check, 11:00 AM,1,Private room,1,,4.75,Barcelona,$60.00 ,,,"Room in Barcelona, Spain",2024-10-08T18:20:48.921Z,airbnb://rooms/886034146180533677,https://www.airbnb.com/rooms/886034146180533677?locale=en-US&currency=USD&check_in=2024-12-31&check_out=2025-01-01
Private room in rental unit,12/31/2024,1/1/2025,Flexible,flexible check, 11:00 AM,2,Private room,0,,5,Barcelona,$66.00 ,Cleaning fee,$11.00 ,"Room in Barcelona, Spain",2024-10-08T18:20:31.078Z,airbnb://rooms/1202780025822678818,https://www.airbnb.com/rooms/1202780025822678818?locale=en-US&currency=USD&check_in=2024-12-31&check_out=2025-01-01
Private room in home,12/31/2024,1/1/2025,Flexible, 3:00 PM , 11:00 AM,2,Private room,1,,4.75,El Prat de Llobregat,$66.00 ,,,"Room in El Prat de Llobregat, Spain",2024-10-08T18:20:38.039Z,airbnb://rooms/1137749973390497047,https://www.airbnb.com/rooms/1137749973390497047?locale=en-US&currency=USD&check_in=2024-12-31&check_out=2025-01-01
Private room in rental unit,12/31/2024,1/1/2025,Moderate, 3:00 PM, 12:00 PM,2,Private room,1,,4.45,El Prat de Llobregat,$66.00 ,Cleaning fee,$10.00 ,"Room in El Prat de Llobregat, Spain",2024-10-08T18:20:46.854Z,airbnb://rooms/28493087,https://www.airbnb.com/rooms/28493087?locale=en-US&currency=USD&check_in=2024-12-31&check_out=2025-01-01
Private room in rental unit,12/31/2024,1/1/2025,Firm,flexible check, 11:00 AM,2,Private room,1,,4.9,L'Hospitalet de Llobregat,$66.00 ,Cleaning fee,$9.00 ,"Room in L'Hospitalet de Llobregat, Spain",2024-10-08T18:20:49.333Z,airbnb://rooms/1019555051919845682,https://www.airbnb.com/rooms/1019555051919845682?locale=en-US&currency=USD&check_in=2024-12-31&check_out=2025-01-01
Private room in rental unit,12/31/2024,1/1/2025,Moderate, 1:00 PM, 12:00 PM,2,Private room,1,,4.27,Barcelona,$67.00 ,Cleaning fee,$11.00 ,"Room in Barcelona, Spain",2024-10-08T18:20:49.461Z,airbnb://rooms/1102583562378842806,https://www.airbnb.com/rooms/1102583562378842806?locale=en-US&currency=USD&check_in=2024-12-31&check_out=2025-01-01
Private room in guest suite,12/31/2024,1/1/2025,Strict, 3:00 PM, 12:00 PM,2,Private room,1,1,4.49,El Prat de Llobregat,$68.00 ,Cleaning fee,$10.00 ,"Private room in guest suite in El Prat de Llobregat, Spain",2024-10-08T18:20:31.793Z,airbnb://rooms/26773294,https://www.airbnb.com/rooms/26773294?locale=en-US&currency=USD&check_in=2024-12-31&check_out=2025-01-01
Private room in rental unit,12/31/2024,1/1/2025,Flexible, 3:00 PM, 11:00 AM,1,Private room,1,,4.63,Barcelona,$68.00 ,,,"Room in Barcelona, Spain",2024-10-08T18:20:42.212Z,airbnb://rooms/1204516840130355594,https://www.airbnb.com/rooms/1204516840130355594?locale=en-US&currency=USD&check_in=2024-12-31&check_out=2025-01-01
Private room in rental unit,12/31/2024,1/1/2025,Strict, 3:00 PM, 12:00 PM,2,Private room,1,,4.76,El Prat de Llobregat,$76.00 ,Cleaning fee,$10.00 ,"Room in El Prat de Llobregat, Spain",2024-10-08T18:20:42.974Z,airbnb://rooms/696571212134943653,https://www.airbnb.com/rooms/696571212134943653?locale=en-US&currency=USD&check_in=2024-12-31&check_out=2025-01-01
