PropertyId,RealProperty,Capacity,Square,PropertyType,NumBedrooms,ReadyDate
43389,Yes,3,28,,1,2/15/2023 0:00
43395,Yes,6,130,Apartment,3,3/8/2023 0:00
43398,Yes,6,84,Apartment,3,3/19/2023 0:00
43404,Yes,5,45,,2,3/22/2023 0:00
43407,Yes,6,103,Apartment,3,4/5/2023 0:00
43401,Yes,6,100,Apartment,3,4/17/2023 0:00
43406,Yes,4,50,Apa,2,4/29/2023 0:00
43428,Yes,4,65,Apartment,2,5/28/2023 0:00
43425,Yes,10,160,House,5,5/28/2023 0:00
43424,Yes,3,70,Apa,3,5/28/2023 0:00
43423,Yes,7,70,Apartment,4,5/28/2023 0:00
43421,Yes,7,90,Apartment,4,5/28/2023 0:00
43418,Yes,10,150,Apartment,4,5/28/2023 0:00
43417,Yes,6,60,Apa,4,5/28/2023 0:00
43411,Yes,7,90,Apartment,4,5/28/2023 0:00
43412,Yes,8,80,Apa,3,5/28/2023 0:00
43413,Yes,7,90,Apartment,4,5/28/2023 0:00
43428,Yes,5,65,Apartment,2,5/28/2023 0:00
43427,Yes,4,50,Apartment,2,6/5/2023 0:00
43426,Yes,4,65,Apartment,2,6/5/2023 0:00
43623,No,4,65,Apartment,2,6/5/2023 0:00
43429,Yes,4,50,Apartment,2,6/7/2023 0:00
43408,Yes,5,64,Apa,4,6/7/2023 0:00
43430,Yes,3,40,Apa,1,6/9/2023 0:00
43420,Yes,3,45,Apartment,1,6/12/2023 0:00
43422,Yes,5,55,Apa,2,6/18/2023 0:00
43397,Yes,6,150,Apa,2,6/23/2023 0:00
43419,Yes,2,35,Apa,0,6/30/2023 0:00
43432,Yes,5,64,Apartment,4,8/3/2023 0:00
43434,Yes,3,50,,2,8/8/2023 0:00
43443,Yes,5,68,Apartment,3,10/22/2023 0:00
43448,Yes,2,38,Apartment,1,10/24/2023 0:00
43445,Yes,4,57,Apartment,1,11/3/2023 0:00
43445,Yes,5,57,Apartment,1,11/3/2023 0:00
43446,No,1,0,Apartment,0,1/1/2024 0:00
43461,Yes,4,66,Apa,2,1/2/2024 0:00
43481,Yes,3,45,,1,1/8/2024 0:00
43487,Yes,5,102,,3,1/24/2024 0:00
43485,Yes,5,64,Apartment,4,1/24/2024 0:00
43493,Yes,4,50,Apa,2,2/23/2024 0:00
43472,Yes,4,44,,1,2/23/2024 0:00
43470,Yes,4,44,Apa,1,2/23/2024 0:00
43471,Yes,2,31,Apartment,0,2/23/2024 0:00
43468,Yes,6,84,,2,2/23/2024 0:00
43473,Yes,2,31,Apartment,0,2/23/2024 0:00
43474,Yes,4,44,Apartment,1,2/23/2024 0:00
43465,Yes,2,31,,0,2/23/2024 0:00
43469,Yes,2,31,Apartment,0,2/23/2024 0:00
43493,Yes,5,50,Apartment,2,2/23/2024 0:00
43486,Yes,5,68,Apartment,3,2/24/2024 0:00
43477,No,2,0,Apartment,0,2/29/2024 0:00
43505,Yes,3,25,Apartment,0,3/15/2024 0:00
